Distance,Rx,Ry,Rz,Atom1,Atom2,Orb1,Orb2,ReH,ImH,rx,ry,rz
6.585317052858567,-1,-3,0,2,2,pz,pz,4.32,0.0,-1.2445077999999996,6.466653,0.0
6.585317052858567,1,3,0,2,2,pz,pz,4.32,-0.0,1.2445077999999996,-6.466653,0.0
6.585317109553238,-2,-3,0,1,1,pz,pz,4.318,0.0,1.2445081000000005,6.466653,0.0
6.585317109553238,2,3,0,1,1,pz,pz,4.318,-0.0,-1.2445081000000005,-6.466653,0.0
6.585317109553238,-2,-3,0,2,2,pz,pz,4.318,-0.0,1.2445081000000005,6.466653,0.0
6.585317109553238,2,3,0,2,2,pz,pz,4.318,0.0,-1.2445081000000005,-6.466653,0.0
6.58531712798898,-3,-1,0,1,1,pz,pz,4.322,-0.0,6.2225398,2.155551,0.0
6.58531712798898,3,1,0,1,1,pz,pz,4.322,0.0,-6.2225398,-2.155551,0.0
6.58531712798898,-3,-1,0,2,2,pz,pz,4.322,0.0,6.2225398,2.155551,0.0
6.58531712798898,3,1,0,2,2,pz,pz,4.322,-0.0,-6.2225398,-2.155551,0.0
6.585317156509746,-3,-2,0,1,1,pz,pz,4.318,-0.0,4.9780319,4.311102,0.0
6.585317156509746,3,2,0,1,1,pz,pz,4.318,0.0,-4.9780319,-4.311102,0.0
6.585317156509746,-3,-2,0,2,2,pz,pz,4.318,0.0,4.9780319,4.311102,0.0
6.585317156509746,3,2,0,2,2,pz,pz,4.318,-0.0,-4.9780319,-4.311102,0.0
7.185098149380674,2,3,0,1,2,pz,pz,-2.5469999999999997,0.0,-0.0001246174600004757,-7.1850981483,0.0
7.185098149380674,-2,-3,0,2,1,pz,pz,-2.5469999999999997,-0.0,0.0001246174600004757,7.1850981483,0.0
7.1850982211057755,-3,-2,0,1,2,pz,pz,-2.5469999999999997,0.0,6.22241538254,3.5926568517,0.0
7.1850982211057755,3,2,0,2,1,pz,pz,-2.5469999999999997,-0.0,-6.22241538254,-3.5926568517,0.0
7.185313630788235,2,-2,0,1,2,pz,pz,-2.548,-0.0,-6.22266411746,3.5926568517,0.0
7.185313630788235,-2,2,0,2,1,pz,pz,-2.548,0.0,6.22266411746,-3.5926568517,0.0
7.467047625458853,0,-3,0,1,1,pz,pz,-1.821,0.0,-3.7335236999999997,6.466653,0.0
7.467047625458853,0,3,0,1,1,pz,pz,-1.821,-0.0,3.7335236999999997,-6.466653,0.0
7.467047625458853,0,-3,0,2,2,pz,pz,-1.821,-0.0,-3.7335236999999997,6.466653,0.0
7.467047625458853,0,3,0,2,2,pz,pz,-1.821,0.0,3.7335236999999997,-6.466653,0.0
7.4670477,-3,0,0,1,1,pz,pz,-1.822,-0.0,7.4670477,0.0,0.0
7.4670477,3,0,0,1,1,pz,pz,-1.822,0.0,-7.4670477,0.0,0.0
7.4670477,-3,0,0,2,2,pz,pz,-1.822,0.0,7.4670477,0.0,0.0
7.4670477,3,0,0,2,2,pz,pz,-1.822,-0.0,-7.4670477,0.0,0.0
7.467047775458853,-3,-3,0,1,1,pz,pz,-1.82,-0.0,3.7335240000000005,6.466653,0.0
7.467047775458853,3,3,0,1,1,pz,pz,-1.82,0.0,-3.7335240000000005,-6.466653,0.0
7.467047775458853,-3,-3,0,2,2,pz,pz,-1.82,0.0,3.7335240000000005,6.466653,0.0
7.467047775458853,3,3,0,2,2,pz,pz,-1.82,-0.0,-3.7335240000000005,-6.466653,0.0
7.603960495492312,1,3,0,1,2,pz,pz,-0.7380000000000001,0.0,2.4888912825399996,-7.1850981483,0.0
7.603960495492312,-1,-3,0,2,1,pz,pz,-0.7380000000000001,-0.0,-2.4888912825399996,7.1850981483,0.0
7.603960582244513,-3,-1,0,1,2,pz,pz,-0.7380000000000001,0.0,7.46692328254,1.4371058517000002,0.0
7.603960582244513,3,1,0,2,1,pz,pz,-0.7380000000000001,-0.0,-7.46692328254,-1.4371058517000002,0.0
7.60404207749833,3,3,0,1,2,pz,pz,-0.737,-0.0,-2.4891405174600005,-7.1850981483,0.0
7.60404207749833,-3,-3,0,2,1,pz,pz,-0.737,0.0,2.4891405174600005,7.1850981483,0.0
7.604042110027617,-3,-3,0,1,2,pz,pz,-0.736,-0.0,4.977907482540001,5.7482078517,0.0
7.604042110027617,3,3,0,2,1,pz,pz,-0.736,0.0,-4.977907482540001,-5.7482078517,0.0
7.604204878628004,1,-3,0,1,2,pz,pz,-0.737,-0.0,-4.978156117459999,5.7482078517,0.0
7.604204878628004,-1,3,0,2,1,pz,pz,-0.737,0.0,4.978156117459999,-5.7482078517,0.0
7.604204932848829,3,-1,0,1,2,pz,pz,-0.7380000000000001,-0.0,-7.4671721174600005,1.4371058517000002,0.0
7.604204932848829,-3,1,0,2,1,pz,pz,-0.7380000000000001,0.0,7.4671721174600005,-1.4371058517000002,0.0
